trial,reference,trial_loop,number,key,correct,reaction_time
0,5,0,1,right,False,0.614206999889575
0,5,0,1,up,False,0.2851880999514833
0,5,1,4,down,True,0.4919154999079183
0,5,1,4,left,False,0.20106950006447732
0,5,2,4,up,False,0.3759365000296384
0,5,2,4,right,True,0.23353149998001754
1,5,0,4,right,True,0.6030936000170186
1,5,0,4,up,False,0.2708487999625504
1,5,1,3,right,False,0.57904330000747
1,5,1,3,up,False,0.20426520006731153
1,5,2,8,down,False,0.5099840000038967
1,5,2,8,right,True,0.05516009998973459
